family,anchor,challenger,reference,samples,tail_fraction,tail_size,adam_loss_change_mean_on_adam_tail,challenger_loss_change_mean_on_adam_tail,challenger_minus_adam_on_adam_tail_loss_mean,adam_tail_challenger_win_fraction,adam_loss_change_mean_on_challenger_tail,challenger_loss_change_mean_on_challenger_tail,challenger_minus_adam_on_challenger_tail_loss_mean,challenger_tail_challenger_win_fraction,tail_intersection,tail_union,tail_jaccard,adam_tail_baseline_margin_percentile_median
dense,dense/pretrained,muon,adamw,224,0.05,12,0.224961390097936,0.13123182207345963,-0.09372956802447636,0.9166666666666666,0.14670473337173462,0.17557984590530396,0.028875112533569336,0.5,6,18,0.3333333333333333,0.20067264573991034
dense,dense/pretrained,normuon,adamw,224,0.05,12,0.224961390097936,0.14608787248531976,-0.07887351761261623,1.0,0.1760141278306643,0.1998719424009323,0.023857814570267994,0.5833333333333334,6,18,0.3333333333333333,0.20067264573991034
dense,dense/adamw-lr1e-5/checkpoint-782,muon,adamw,224,0.05,12,0.3118803749481837,0.09908605615297954,-0.21279431879520416,0.9166666666666666,0.20982597271601358,0.20036577681700388,-0.009460195899009705,0.4166666666666667,5,19,0.2631578947368421,0.10426008968609865
dense,dense/adamw-lr1e-5/checkpoint-782,normuon,adamw,224,0.05,12,0.3118803749481837,0.10674426952997844,-0.20513610541820526,0.9166666666666666,0.20123316844304404,0.17539859314759573,-0.025834575295448303,0.5,6,18,0.3333333333333333,0.10426008968609865
dense,dense/adamw-lr1e-5/checkpoint-2345,muon,adamw,224,0.05,12,0.34515681862831116,0.09416212141513824,-0.2509946972131729,1.0,0.23264482617378235,0.15150557458400726,-0.08113925158977509,0.6666666666666666,6,18,0.3333333333333333,0.12443946188340807
dense,dense/adamw-lr1e-5/checkpoint-2345,normuon,adamw,224,0.05,12,0.34515681862831116,0.0721992701292038,-0.27295754849910736,1.0,0.12671511620283127,0.10765915364027023,-0.019055962562561035,0.6666666666666666,5,19,0.2631578947368421,0.12443946188340807
dense,dense/adamw-lr1e-5/checkpoint-3907,muon,adamw,224,0.05,12,0.3074234624703725,0.07873895764350891,-0.22868450482686362,1.0,0.2158970683813095,0.14815363784631094,-0.06774343053499858,0.5,6,18,0.3333333333333333,0.15022421524663676
dense,dense/adamw-lr1e-5/checkpoint-3907,normuon,adamw,224,0.05,12,0.3074234624703725,0.11185797055562337,-0.19556549191474915,1.0,0.255429670214653,0.15674234926700592,-0.0986873209476471,0.75,7,17,0.4117647058823529,0.15022421524663676
dense,dense/muon-lr1e-3/checkpoint-782,muon,adamw,224,0.05,12,0.2098383605480194,0.0726633071899414,-0.137175053358078,1.0,0.08228093385696411,0.17603880167007446,0.09375786781311035,0.16666666666666666,2,22,0.09090909090909091,0.38789237668161436
dense,dense/muon-lr1e-3/checkpoint-782,normuon,adamw,224,0.05,12,0.2098383605480194,0.08418755233287811,-0.1256508082151413,1.0,0.1093559314807256,0.14542808632055917,0.03607215483983358,0.25,3,21,0.14285714285714285,0.38789237668161436
